Address,Latitude,Longitude,SquareFeet,LeaseRate,Walkable
"2825 Grandview Hwy, Vancouver",49.258413,-123.046053,"1,000",$35.00,No
"1748 Commercial Drive, Vancouver",49.268816,-123.069260,"1,325",$13.25,No
"1599 Venables St, Vancouver",49.276962,-123.072991,"6,600",$16.00,No
"430 Railway St, Vancouver",49.284616,-123.094533,"8,775",$18.74,No
"1951 Glen Dr, Vancouver",49.267358,-123.082534,534,$25.46,No
"1868 Glen Dr, Vancouver",49.268413,-123.080809,517,$25.61,No
"1868 Glen Dr, Vancouver",49.268413,-123.080809,880,$25.61,No
"261 East Pender Street, Vancouver",49.280606,-123.098228,"4,200",$31.17,No
"1860 Powell St, Vancouver",49.284258,-123.065888,"2,030",$31.45,No
"4737 Hastings Street, Burnaby",49.281256,-122.995821,"1,522",$31.53,No
"15 Victoria Dr, Vancouver",49.284085,-123.065868,"2,163",$33.45,No
"2906 East 2nd Avenue, Vancouver",49.268229,-123.043375,820,$20.00,No
"1470 Pemberton Ave, North Vancouver",49.331850,-123.107556,"6,764",$20.94,Yes
"1453 Lonsdale Ave, North Vancouver",49.333469,-123.072061,"4,150",$23.00,No
"2198 Yukon St, Vancouver",49.265446,-123.112352,"6,938",$23.00,No
"1226 Frances St, Vancouver",49.279232,-123.078476,"3,116",$23.30,No
"269 East Georgia Street, Vancouver",49.278781,-123.097581,"2,930",$24.00,No
"851 Terminal Avenue, Vancouver",49.270734,-123.085593,"15,451",$24.76,No
"455 Main St, Vancouver",49.280512,-123.100164,"2,422",$25.00,No
"3701 Hastings St, Burnaby",49.280861,-123.023036,"2,387",$25.50,No
"155 1st Street East, North Vancouver",49.313175,-123.081815,"1,960",$27.40,No
"106 West 1st Street, North Vancouver",49.313175,-123.081815,"2,505",$27.50,No
"106 West 1st Street, North Vancouver",49.313175,-123.081815,"3,610",$27.50,No
"89 East Pender Street, Vancouver",49.280690,-123.102541,"4,717",$27.78,No
"1312 Kingsway, Vancouver",49.250649,-123.077748,950,$30.00,No
"1047 Granville St, Vancouver",49.278911,-123.124136,"3,303",$30.00,No
"3751 West 10th Avenue, Vancouver",49.263764,-123.186973,"1,162",$30.00,No
"1610 Hamilton Avenue, North Vancouver",49.328713,-123.097847,"1,211",$30.70,Yes
"506 Main Street, Vancouver",49.280158,-123.099261,"1,900",$31.45,No
"2906 East 2nd Avenue, Vancouver",49.268229,-123.043375,820,$32.00,No
"1650 West 2nd Avenue, Vancouver",49.269469,-123.141976,"2,241",$32.00,No
"1650 West 2nd Avenue, Vancouver",49.269469,-123.141976,"2,923",$32.00,No
"1295 Davie Street, Vancouver",49.283181,-123.134943,"6,030",$32.00,No
"1938 W Broadway, Vancouver",49.263451,-123.149231,"1,295",$32.00,No
"209 Main Street, Vancouver",49.282975,-123.100047,"1,658",$32.00,No
"2568 Arbutus Street, Vancouver",49.263127,-123.152653,"1,300",$32.31,No
"1807 Burrard St, Vancouver",49.269535,-123.145941,"2,500",$34.00,No
"3528 Commercial St, Vancouver",49.253151,-123.067606,"2,093",$34.25,No
"3532 Commercial St, Vancouver",49.253151,-123.067606,"1,470",$34.25,No
"110 1st St E, North Vancouver",49.313175,-123.081815,"1,637",$34.68,No
"152 2nd St E, North Vancouver",49.319052,-123.091578,"3,510",$34.80,No
"726 Kingsway, Vancouver",49.256117,-123.089374,"2,973",$34.84,No
"353 Railway St, Vancouver",49.284930,-123.096254,"5,402",$35.00,No
"3700 Hastings Street, Burnaby",49.279675,-122.780420,"3,258",$35.00,No
"2331 Main Street, Vancouver",49.264175,-123.101415,"2,060",$35.00,No
"3488 East Hastings Street, Vancouver",49.280859,-123.027791,507,$35.00,No
"3496 Main Street, Vancouver",49.254712,-123.028567,943,$35.00,No
"3700 Hastings Street, Burnaby",49.279675,-122.780420,"2,660",$35.00,No
"1047 Granville St, Vancouver",49.278911,-123.124136,"1,300",$35.00,No
"2227 Granville Street, Vancouver",49.265719,-123.138909,"1,172",$35.00,No
"1308 West Broadway, Vancouver",49.263207,-123.133999,"1,277",$35.00,No
